# M_red = 0.333
# r   H0R/R  dR/R  d2R/R tot.
0.000000e+00   1.473129e+00 2.898218e-03   6.172526e-03 1.934678e-03   -7.137859e-04 2.091067e-03 1.478588e+00 2.741830e-03
1.000000e+00   7.210817e-01 5.168145e-03   5.028662e-03 2.037920e-03   -1.167862e-03 1.777849e-03 7.249425e-01 5.428216e-03
2.000000e+00   2.429547e-01 3.368372e-03   3.323015e-03 1.565884e-03   -1.294853e-03 1.382275e-03 2.449829e-01 3.551980e-03
3.000000e+00   1.050525e-01 3.985222e-04   1.426749e-03 5.657971e-04   -1.886157e-03 5.328701e-04 1.045931e-01 3.655952e-04
4.000000e+00   3.995512e-02 1.553539e-04   -4.045566e-04 4.285215e-04   -1.732815e-03 7.239595e-04 3.781774e-02 4.507919e-04
5.000000e+00   1.007007e-02 7.606998e-04   -2.359161e-03 1.531762e-03   -1.269514e-03 1.827296e-03 6.441390e-03 1.056234e-03
6.000000e+00   -3.812349e-03 3.432411e-03   -3.560334e-03 2.065592e-03   -1.168298e-03 2.121967e-03 -8.540981e-03 3.488786e-03
7.000000e+00   -5.433957e-03 3.184676e-03   -4.416682e-03 2.380874e-03   -8.659992e-04 1.877790e-03 -1.071664e-02 2.681592e-03
8.000000e+00   -1.039088e-02 2.917853e-04   -4.765504e-03 2.470246e-03   -8.895270e-04 1.255281e-03 -1.604592e-02 1.506751e-03
9.000000e+00   -7.861248e-03 2.864773e-04   -5.498081e-03 1.846524e-03   -1.421619e-04 6.130317e-04 -1.350149e-02 1.519969e-03
1.000000e+01   -8.291062e-03 2.081107e-03   -5.691259e-03 1.749088e-03   2.234194e-04 6.438796e-04 -1.375890e-02 3.186315e-03
1.100000e+01   -6.397296e-03 5.343908e-04   -5.540438e-03 1.391995e-03   2.969889e-04 6.804732e-04 -1.164075e-02 1.245912e-03
1.200000e+01   -2.415097e-03 2.504073e-05   -4.716261e-03 5.544979e-04   2.281201e-04 3.713558e-05 -6.903237e-03 5.665928e-04
1.300000e+01   -2.278285e-03 9.844694e-04   -2.676971e-03 1.290526e-04   -4.765796e-04 4.746657e-04 -5.431835e-03 1.330082e-03
1.400000e+01   -2.391150e-03 3.586926e-03   -4.639338e-04 3.118739e-04   -9.410315e-04 2.346101e-04 -3.796115e-03 3.509662e-03
1.500000e+01   1.670293e-03 1.372707e-03   1.120217e-05 1.963006e-03   -2.964902e-04 1.156493e-03 1.385005e-03 5.661932e-04
1.600000e+01   1.321984e-03 9.158800e-04   -1.631443e-04 3.020436e-03   -7.105115e-04 1.722050e-03 4.483284e-04 2.214266e-03
1.700000e+01   -4.313975e-03 3.440717e-04   -1.032379e-03 2.972312e-03   -1.147284e-03 1.961825e-03 -6.493639e-03 6.664150e-04
1.800000e+01   -4.165576e-04 3.391842e-04   -1.371035e-03 1.397175e-03   -6.879306e-04 1.195861e-03 -2.475523e-03 1.378705e-04
1.900000e+01   1.335561e-03 2.116412e-05   -1.852648e-03 1.763042e-03   1.233281e-04 3.014817e-04 -3.937589e-04 1.440396e-03
2.000000e+01   -3.124844e-03 6.765871e-06   -1.021976e-03 4.571668e-03   -4.483578e-04 1.262834e-03 -4.595178e-03 3.315600e-03
2.100000e+01   -7.049325e-04 7.921534e-04   3.493356e-04 6.588308e-03   -7.196564e-04 1.465536e-03 -1.075253e-03 5.914926e-03
2.200000e+01   -1.143381e-03 2.042526e-03   1.215949e-03 8.893779e-03   -7.163120e-04 1.807131e-03 -6.437439e-04 9.129174e-03
2.300000e+01   7.335556e-04 4.020733e-03   1.448803e-03 9.629252e-03   -8.926596e-04 2.000351e-03 1.289699e-03 1.164963e-02
2.400000e+01   3.353060e-03 3.593564e-03   1.702872e-03 1.027346e-02   -9.909714e-04 2.362128e-03 4.064961e-03 1.150490e-02
1.414214e+00   4.599933e-01 4.919730e-03   4.195965e-03 1.890773e-03   -1.120048e-03 1.561599e-03 4.630692e-01 5.248905e-03
2.236068e+00   2.024106e-01 2.807490e-03   2.728106e-03 1.354927e-03   -1.075353e-03 1.264260e-03 2.040633e-01 2.898157e-03
3.162278e+00   9.416783e-02 1.801953e-04   1.015192e-03 2.701089e-04   -1.330603e-03 3.501773e-04 9.385242e-02 2.602637e-04
4.123106e+00   3.798919e-02 1.669818e-03   -6.603980e-04 6.597748e-04   -1.180153e-03 9.163537e-04 3.614864e-02 1.926397e-03
5.099020e+00   9.512921e-03 4.997644e-04   -2.390763e-03 1.560621e-03   -9.675119e-04 1.668943e-03 6.154646e-03 6.080871e-04
6.082763e+00   -3.753519e-03 1.887483e-03   -3.434143e-03 1.928124e-03   -1.175128e-03 1.520444e-03 -8.362791e-03 2.295162e-03
7.071068e+00   -7.704533e-03 2.569637e-04   -4.119551e-03 2.035839e-03   -1.311536e-03 1.456650e-03 -1.313562e-02 3.222247e-04
8.062258e+00   -9.385012e-03 9.134225e-05   -4.705145e-03 1.916473e-03   -1.061693e-03 1.129654e-03 -1.515185e-02 8.781611e-04
9.055385e+00   -7.524747e-03 5.474267e-04   -5.184347e-03 1.603523e-03   -4.541798e-04 8.516907e-04 -1.316327e-02 2.044058e-04
1.004988e+01   -5.865945e-03 5.071674e-04   -5.348587e-03 1.451019e-03   9.610721e-05 7.951583e-04 -1.111843e-02 1.486935e-04
1.104536e+01   -5.580407e-03 5.046945e-04   -5.352188e-03 1.265073e-03   1.710384e-04 7.612651e-04 -1.076156e-02 8.869119e-07
1.204159e+01   -4.896955e-03 2.015629e-03   -4.410631e-03 4.931222e-04   -7.818189e-05 1.104036e-04 -9.385767e-03 2.619155e-03
1.303840e+01   -3.330277e-03 2.343633e-03   -2.718464e-03 6.996326e-05   -3.169872e-04 5.858194e-04 -6.365728e-03 2.859489e-03
1.403567e+01   1.964454e-04 1.047438e-03   -7.444503e-04 4.970705e-04   -4.075008e-04 8.861390e-05 -9.555058e-04 1.633122e-03
1.503330e+01   3.326112e-03 3.677304e-04   -4.098838e-04 1.709843e-03   6.213991e-06 7.470249e-04 2.922442e-03 1.330548e-03
1.603122e+01   5.220221e-04 9.918416e-04   -6.750547e-04 2.385084e-03   -4.482478e-04 1.133517e-03 -6.012804e-04 2.243409e-03
1.702939e+01   -1.705738e-03 2.021940e-04   -1.019630e-03 2.176801e-03   -7.426063e-04 1.509263e-03 -3.467974e-03 4.653433e-04
1.802776e+01   -2.454148e-04 1.212808e-03   -1.127156e-03 7.774155e-04   -5.406913e-04 1.054109e-03 -1.913262e-03 1.489501e-03
1.902630e+01   5.229410e-04 2.004632e-04   -1.418604e-03 1.906122e-03   -7.842910e-05 2.174954e-04 -9.740921e-04 1.889090e-03
2.002498e+01   -5.259232e-04 6.597225e-04   -8.756744e-04 4.474198e-03   -1.935834e-04 1.177800e-03 -1.595181e-03 2.636676e-03
2.102380e+01   1.685030e-03 1.088270e-03   4.704686e-04 6.706102e-03   -3.938176e-04 1.471989e-03 1.761680e-03 6.322383e-03
2.202272e+01   1.045151e-03 2.799801e-03   1.595816e-03 8.526484e-03   -6.311202e-04 1.699462e-03 2.009847e-03 9.626822e-03
2.302173e+01   1.432124e-03 1.441325e-03   2.013841e-03 9.091098e-03   -9.769334e-04 2.181446e-03 2.469031e-03 8.350976e-03
2.402082e+01   2.416243e-03 2.297179e-03   2.201961e-03 9.499275e-03   -1.134659e-03 2.741295e-03 3.483545e-03 4.460801e-03
2.828427e+00   1.168262e-01 5.663800e-04   1.642321e-03 5.824984e-04   -9.603945e-04 9.339987e-04 1.175081e-01 9.178803e-04
3.605551e+00   6.150704e-02 6.226871e-04   3.023149e-04 5.213942e-04   -7.171515e-04 1.641633e-05 6.109220e-02 1.127665e-03
4.472136e+00   2.541395e-02 2.049310e-03   -1.207160e-03 1.117263e-03   -5.999450e-04 1.005912e-03 2.360684e-02 1.937958e-03
5.385165e+00   4.882104e-03 6.228903e-04   -2.607913e-03 1.514545e-03   -6.365401e-04 1.279459e-03 1.637650e-03 3.878045e-04
6.324555e+00   -5.325717e-03 3.041678e-03   -3.410175e-03 1.482638e-03   -1.246620e-03 1.031228e-03 -9.982511e-03 3.493088e-03
7.280110e+00   -9.984283e-03 2.497971e-03   -3.817881e-03 1.402783e-03   -1.725690e-03 7.724950e-04 -1.552785e-02 3.128260e-03
8.246211e+00   -1.144834e-02 1.256148e-03   -4.260429e-03 1.131664e-03   -1.527318e-03 7.127702e-04 -1.723609e-02 1.675042e-03
9.219544e+00   -9.401487e-03 1.699963e-03   -4.706774e-03 1.178090e-03   -1.129836e-03 9.342234e-04 -1.523810e-02 1.456096e-03
1.019804e+01   -6.735892e-03 1.747880e-03   -4.946830e-03 1.101414e-03   -4.576693e-04 7.917077e-04 -1.214039e-02 1.438173e-03
1.118034e+01   -3.969835e-03 6.437917e-04   -4.899123e-03 8.998856e-04   -2.590939e-04 5.298034e-04 -9.128052e-03 1.013874e-03
1.216553e+01   -3.802003e-03 2.799605e-03   -4.296327e-03 4.499578e-04   -2.475444e-04 1.158749e-04 -8.345874e-03 3.365437e-03
1.315295e+01   -3.004714e-03 1.404516e-03   -3.130478e-03 1.900619e-04   -3.620008e-05 2.671281e-04 -6.171392e-03 1.861706e-03
1.414214e+01   -6.881104e-04 1.810717e-03   -1.723955e-03 6.682211e-04   1.517349e-04 1.731200e-04 -2.260330e-03 2.652058e-03
1.513275e+01   2.622737e-03 1.024555e-03   -1.290097e-03 1.451798e-03   3.120968e-04 2.591722e-04 1.644737e-03 2.217180e-03
1.612452e+01   1.460551e-03 2.247612e-03   -1.244545e-03 1.591433e-03   -4.235391e-05 2.610107e-04 1.736524e-04 3.578034e-03
1.711724e+01   2.230490e-03 2.814575e-03   -1.054108e-03 1.252170e-03   -2.099306e-04 5.241621e-04 9.664509e-04 3.542582e-03
1.811077e+01   1.104633e-03 6.056117e-04   -8.440027e-04 1.594869e-04   -2.568486e-04 7.894204e-04 3.782131e-06 1.235545e-03
1.910497e+01   2.047425e-04 2.922012e-03   -8.763763e-04 1.993671e-03   -1.559359e-04 1.632873e-04 -8.275697e-04 5.078971e-03
2.009975e+01   5.866279e-04 2.427285e-03   -4.154684e-04 4.301626e-03   -1.206464e-04 6.081720e-04 5.051309e-05 6.120739e-03
2.109502e+01   1.743547e-03 1.892255e-03   6.308402e-04 6.229268e-03   -2.713243e-04 1.024582e-03 2.103063e-03 7.096941e-03
2.209072e+01   3.855633e-03 1.199841e-03   1.810508e-03 7.593034e-03   -5.589492e-04 1.575572e-03 5.107192e-03 7.217303e-03
2.308679e+01   2.522758e-03 1.749704e-03   2.415828e-03 8.430694e-03   -8.857267e-04 2.500703e-03 4.052860e-03 4.180287e-03
2.408319e+01   1.259894e-03 3.390854e-03   2.868144e-03 8.330013e-03   -1.287906e-03 2.683301e-03 2.840132e-03 2.255857e-03
4.242641e+00   3.445118e-02 3.164952e-03   -3.557354e-04 9.316678e-04   -3.654112e-04 1.818686e-04 3.373003e-02 3.914751e-03
5.000000e+00   1.391085e-02 1.752703e-03   -1.302704e-03 1.247574e-03   -2.786790e-04 7.387171e-04 1.232947e-02 2.261560e-03
5.830952e+00   2.242536e-03 8.989926e-05   -2.649775e-03 1.271502e-03   -2.969085e-04 8.985041e-04 -7.041478e-04 4.628971e-04
6.708204e+00   -6.925207e-03 1.887934e-03   -3.445799e-03 9.534107e-04   -1.145248e-03 7.047775e-04 -1.151625e-02 2.136567e-03
7.615773e+00   -9.777108e-03 2.448984e-03   -3.815002e-03 8.182623e-04   -1.545745e-03 5.317464e-04 -1.513786e-02 2.735500e-03
